# instance:  5000
number of ordered pairs:  225000
[0, 0]	[2627, 2373]	[2177, 2823]	[3185, 1815]	[2662, 2338]	[2459, 2541]	[3573, 1427]	[1443, 3557]	[3068, 1932]	[4223, 777]
[2373, 2627]	[0, 0]	[2152, 2848]	[2848, 2152]	[2570, 2430]	[2428, 2572]	[3449, 1551]	[1420, 3580]	[2859, 2141]	[3785, 1215]
[2823, 2177]	[2848, 2152]	[0, 0]	[3395, 1605]	[2809, 2191]	[2701, 2299]	[3808, 1192]	[1285, 3715]	[3625, 1375]	[4347, 653]
[1815, 3185]	[2152, 2848]	[1605, 3395]	[0, 0]	[2316, 2684]	[2025, 2975]	[3117, 1883]	[1131, 3869]	[2503, 2497]	[3847, 1153]
[2338, 2662]	[2430, 2570]	[2191, 2809]	[2684, 2316]	[0, 0]	[2413, 2587]	[2941, 2059]	[1421, 3579]	[2645, 2355]	[3311, 1689]
[2541, 2459]	[2572, 2428]	[2299, 2701]	[2975, 2025]	[2587, 2413]	[0, 0]	[3349, 1651]	[1477, 3523]	[2964, 2036]	[3754, 1246]
[1427, 3573]	[1551, 3449]	[1192, 3808]	[1883, 3117]	[2059, 2941]	[1651, 3349]	[0, 0]	[893, 4107]	[1779, 3221]	[3288, 1712]
[3557, 1443]	[3580, 1420]	[3715, 1285]	[3869, 1131]	[3579, 1421]	[3523, 1477]	[4107, 893]	[0, 0]	[4101, 899]	[4414, 586]
[1932, 3068]	[2141, 2859]	[1375, 3625]	[2497, 2503]	[2355, 2645]	[2036, 2964]	[3221, 1779]	[899, 4101]	[0, 0]	[4103, 897]
[777, 4223]	[1215, 3785]	[653, 4347]	[1153, 3847]	[1689, 3311]	[1246, 3754]	[1712, 3288]	[586, 4414]	[897, 4103]	[0, 0]
imba:  0.70251197379
